history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;MCXSM;08.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1013,73;;;;2277432775,3;;;2;253367996086,721;;;3;
RTSI;MCXSM;09.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1017,8;;;;1612714700,8;;;2;254384699210,121;;;3;
RTSI;MCXSM;10.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1016,11;;;;2069070959,2;;;2;253960884269,962;;;3;
RTSI;MCXSM;11.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1015,51;;;;2443092952,1;;;2;253810796191,892;;;3;
RTSI;MCXSM;14.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1028,32;;;;3677867744,8;;;2;257013984215,253;;;3;
RTSI;MCXSM;15.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1031,2;;;;3433146551,6;;;2;257733298756,548;;;3;
RTSI;MCXSM;16.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1034;;;;3840174212,8;;;2;258433027613,884;;;3;
RTSI;MCXSM;17.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1036,92;;;;2944675601,3;;;2;259162887706,06;;;3;
RTSI;MCXSM;18.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1044,87;;;;3273613406,7;;;2;261150039793,813;;;3;
RTSI;MCXSM;21.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1042,86;;;;1508280791,6;;;2;260647330080,719;;;3;
RTSI;MCXSM;22.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1039,66;;;;2369304168;;;2;259848074821,98;;;3;
RTSI;MCXSM;23.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1047,28;;;;3294853056,7;;;2;261751150349,768;;;3;
RTSI;MCXSM;24.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1044,1;;;;2644879551,5;;;2;260956332030,946;;;3;
RTSI;MCXSM;25.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1048,61;;;;2067370115,3;;;2;262084183763,376;;;3;
RTSI;MCXSM;28.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1057,46;;;;2154034327;;;2;264295602189,387;;;3;
RTSI;MCXSM;29.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1055,28;;;;3485005630,2;;;2;263752110970,957;;;3;
RTSI;MCXSM;30.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1044,45;;;;3113993217,2;;;2;261044793410,234;;;3;
RTSI;MCXSM;31.01.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1045,93;;;;3450581669,7;;;2;261414199142,212;;;3;
RTSI;MCXSM;01.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1051,69;;;;2243927897,5;;;2;262854736577,93;;;3;
RTSI;MCXSM;04.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1048,34;;;;2117394255,1;;;2;262017075570,437;;;3;
RTSI;MCXSM;05.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1049,06;;;;1763128184,5;;;2;262198302216,952;;;3;
RTSI;MCXSM;06.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1042,25;;;;2133538810,8;;;2;260494931539,271;;;3;
RTSI;MCXSM;07.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1046,4;;;;2015954365,9;;;2;261531563214,814;;;3;
RTSI;MCXSM;08.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1039,8;;;;2742195517,6;;;2;259881721808,223;;;3;
RTSI;MCXSM;11.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1039,79;;;;1429155072,5;;;2;259880338855,05;;;3;
RTSI;MCXSM;12.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1038,49;;;;1435804409,7;;;2;259555479176,315;;;3;
RTSI;MCXSM;13.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1053,99;;;;2440526751,7;;;2;263429594593,229;;;3;
RTSI;MCXSM;14.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1046,24;;;;3301393099,6;;;2;261492565841,764;;;3;
RTSI;MCXSM;15.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1048,65;;;;2379823440,3;;;2;262094167823,86;;;3;
RTSI;MCXSM;18.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1043,54;;;;1842522362,8;;;2;260816611124,291;;;3;
RTSI;MCXSM;19.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1043,6;;;;1909258938,4;;;2;260833589198,715;;;3;
RTSI;MCXSM;20.02.2013;Индекс МосБиржи SMID;Индекс МосБиржи средней и малой капитализации;1029,86;;;;1629845299,3;;;2;257398443687,168;;;3;
