history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
RTSI;MOEXBC;11.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10133,46;9568,83;10225,22;9568,83;9335190103,99;;;2;3878772920917,1;RUB;999999,999999;3;
RTSI;MOEXBC;12.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10010,94;10110,57;10166,63;9986,35;10203423170,45;;;2;3831876778975,7;RUB;999999,999999;3;
RTSI;MOEXBC;13.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10036,99;10010,94;10123,41;9887,06;10039416789,6;;;2;3841849782149,22;RUB;999999,999999;3;
RTSI;MOEXBC;14.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10157,84;10036,49;10168,59;10034,98;8564653783,9;;;2;3888106484320,92;RUB;999999,999999;3;
RTSI;MOEXBC;15.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10138,2;10157,84;10254,33;10112,19;11405437619,36;;;2;3880587589166,28;RUB;999999,999999;3;
RTSI;MOEXBC;18.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10304,06;10138,2;10304,06;10095,28;8521229428,11;;;2;3944073962497,9;RUB;999999,999999;3;
RTSI;MOEXBC;19.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10325,48;10304,06;10332,76;10140,37;13369035247,75;;;2;3952272036119,67;RUB;999999,999999;3;
RTSI;MOEXBC;20.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;10181,32;10325,1;10397,99;10166,34;16229815045,56;;;2;3897092031276,88;RUB;999999,999999;3;
RTSI;MOEXBC;21.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9991,57;10177,9;10234,97;9989,18;17967746609,34;;;2;3824463953051,03;RUB;999999,999999;3;
RTSI;MOEXBC;22.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9776,53;9993,46;10014;9688,77;17554265076,22;;;2;3742151616630,76;RUB;999999,999999;3;
RTSI;MOEXBC;25.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9841,54;9790,87;9900,76;9691,45;16304292919,35;;;2;3767037063133,78;RUB;999999,999999;3;
RTSI;MOEXBC;26.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9620,86;9837,23;9868,51;9516,56;16975350257,63;;;2;3682567644651,85;RUB;999999,999999;3;
RTSI;MOEXBC;27.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9640,29;9625,18;9742,72;9456,85;18107478427,74;;;2;3690003960467,96;RUB;999999,999999;3;
RTSI;MOEXBC;28.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9741,57;9652,82;9869,37;9594,78;16711513561,41;;;2;3728770446292,35;RUB;999999,999999;3;
RTSI;MOEXBC;29.01.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9827,37;9719,23;9830,1;9636,42;15773056366,87;;;2;3761612322599,6;RUB;999999,999999;3;
RTSI;MOEXBC;01.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9816,93;9827,37;9827,61;9666,62;12706859059,49;;;2;3757614343839,42;RUB;999999,999999;3;
RTSI;MOEXBC;02.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9936,16;9818,16;9941,34;9804,13;10439148303,78;;;2;3803253229806,56;RUB;999999,999999;3;
RTSI;MOEXBC;03.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9906,65;9936,16;10066,42;9897,29;11611734503,5;;;2;3791957606653,78;RUB;999999,999999;3;
RTSI;MOEXBC;04.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9654,68;9910,15;9960,45;9623,61;11454467098,82;;;2;3695513424563,31;RUB;999999,999999;3;
RTSI;MOEXBC;05.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9401,63;9648,6;9685,54;9306,62;14384735820,98;;;2;3598653932654,86;RUB;999999,999999;3;
RTSI;MOEXBC;08.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9165,36;9401,63;9502,74;9139,02;14550224692,46;;;2;3508214819281,28;RUB;999999,999999;3;
RTSI;MOEXBC;09.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9248,01;9165,36;9310,58;9143,39;12734764294,39;;;2;3539851208694,94;RUB;999999,999999;3;
RTSI;MOEXBC;10.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9180,23;9248,01;9412,53;9123,96;13014130280,44;;;2;3513905920194,71;RUB;999999,999999;3;
RTSI;MOEXBC;11.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9192,16;9180,23;9328,29;9129,98;13874214646,32;;;2;3518474730232,93;RUB;999999,999999;3;
RTSI;MOEXBC;12.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;8999,47;9192,16;9306,16;8932,79;13416638902,53;;;2;3444716308515,33;RUB;999999,999999;3;
RTSI;MOEXBC;15.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9083,81;8999,47;9089,38;8979,14;7777450980,74;;;2;3477001994777,11;RUB;999999,999999;3;
RTSI;MOEXBC;16.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9367,89;9083,81;9367,89;9066,47;10463817165,84;;;2;3585737239987,19;RUB;999999,999999;3;
RTSI;MOEXBC;17.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9338,4;9367,89;9452,06;9312,43;11378789804,31;;;2;3574449166400,4;RUB;999999,999999;3;
RTSI;MOEXBC;18.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9233,08;9338,4;9373,91;9128,96;13412984474,93;;;2;3534135516780,58;RUB;999999,999999;3;
RTSI;MOEXBC;19.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9352,65;9233,08;9353,09;9035,34;11545982338,46;;;2;3579904597026,41;RUB;999999,999999;3;
RTSI;MOEXBC;24.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9163,76;9352,65;9391,3;9093,34;10359960580,72;;;2;3507602565269,79;RUB;999999,999999;3;
RTSI;MOEXBC;25.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;8977,26;9163,76;9265,18;8900,26;11248048968,72;;;2;3436216684390,21;RUB;999999,999999;3;
RTSI;MOEXBC;26.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9090,37;8977,26;9093,3;8942,2;10750523653,17;;;2;3479511545024,82;RUB;999999,999999;3;
RTSI;MOEXBC;27.02.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9154,18;9090,37;9161,09;9074,51;3552853283,18;;;2;3503936080581,68;RUB;999999,999999;3;
RTSI;MOEXBC;01.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9345,11;9154,18;9363,95;9107,01;10047705822,58;;;2;3577019056151,48;RUB;999999,999999;3;
RTSI;MOEXBC;02.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9427,21;9345,11;9470,52;9297,79;9896766277,38;;;2;3608443844908,84;RUB;999999,999999;3;
RTSI;MOEXBC;03.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9507,07;9427,21;9536,62;9337,75;9930895961,76;;;2;3639009823835,81;RUB;999999,999999;3;
RTSI;MOEXBC;04.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9549,25;9507,07;9630,84;9416,2;9802621949,2;;;2;3655156785768,77;RUB;999999,999999;3;
RTSI;MOEXBC;05.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9768,22;9549,25;9773,57;9533,16;9862158142,28;;;2;3738970716101,2;RUB;999999,999999;3;
RTSI;MOEXBC;09.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9758,3;9768,22;9825,31;9633,25;9915105675,45;;;2;3735174791025,39;RUB;999999,999999;3;
RTSI;MOEXBC;10.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9662,37;9758,3;9820,65;9628,15;12405980003,91;;;2;3698455964206,94;RUB;999999,999999;3;
RTSI;MOEXBC;11.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9622,13;9662,37;9730,76;9568,06;11208806254,13;;;2;3683052286887,32;RUB;999999,999999;3;
RTSI;MOEXBC;12.03.2010;Индекс голубых фишек;Индекс МосБиржи голубых фишек;9760,81;9622,13;9836,09;9605,25;12241365349,51;;;2;3736134798941,09;RUB;999999,999999;3;
