"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","5.261,89","5.605,59","5.610,89","5.206,00","","-5,47%"
"01.11.2022","5.566,26","5.906,47","5.906,47","5.418,65","","-5,47%"
"01.10.2022","5.888,49","4.930,39","5.924,98","4.906,44","","21,98%"
"01.09.2022","4.827,36","6.125,28","6.296,85","4.576,26","","-21,17%"
"01.08.2022","6.123,79","5.628,61","6.195,06","5.266,42","","8,80%"
"01.07.2022","5.628,70","4.851,51","5.628,70","4.819,01","","15,49%"
"01.06.2022","4.873,84","4.989,50","5.086,75","4.480,43","","-2,93%"
"01.05.2022","5.021,09","5.564,05","5.608,94","4.932,42","","-9,44%"
"01.04.2022","5.544,64","6.697,72","7.004,00","5.335,83","","-14,62%"
"01.03.2022","6.494,42","5.251,87","6.532,54","5.155,67","","21,97%"
"01.02.2022","5.324,68","7.461,95","7.794,40","4.185,20","","-28,08%"
"01.01.2022","7.403,62","8.350,35","8.611,81","6.972,08","","-10,79%"
"01.12.2021","8.299,39","8.935,63","9.009,19","8.069,19","","-7,23%"
"01.11.2021","8.945,72","9.447,32","9.694,02","8.781,49","","-4,95%"
"01.10.2021","9.411,34","9.041,42","9.519,10","8.990,89","","3,47%"
"01.09.2021","9.095,57","9.393,96","9.408,58","8.956,68","","-3,23%"
"01.08.2021","9.399,46","8.871,50","9.447,25","8.798,03","","6,39%"
"01.07.2021","8.835,28","9.117,38","9.328,98","8.694,82","","-3,17%"
"01.06.2021","9.124,66","9.083,75","9.224,32","9.021,09","","0,69%"
"01.05.2021","9.061,70","8.792,66","9.065,09","8.752,25","","3,24%"
"01.04.2021","8.776,99","9.030,26","9.077,46","8.757,73","","-2,53%"
"01.03.2021","9.004,95","8.704,48","9.055,09","8.550,87","","4,03%"
"01.02.2021","8.656,40","8.501,41","9.539,44","8.433,55","1,02B","1,97%"
"01.01.2021","8.489,48","8.589,31","8.809,04","8.451,16","","-0,96%"
"01.12.2020","8.572,14","8.182,49","8.640,64","8.133,71","","5,88%"
"01.11.2020","8.095,87","7.508,23","8.281,08","7.442,05","","7,63%"
"01.10.2020","7.521,60","7.897,92","7.968,41","7.399,81","","-4,58%"
"01.09.2020","7.882,85","7.595,94","7.920,20","7.303,80","","3,93%"
"01.08.2020","7.584,69","7.268,72","7.814,05","7.268,72","","4,38%"
"01.07.2020","7.266,75","6.410,60","7.448,32","6.409,07","","13,85%"
"01.06.2020","6.382,89","5.814,19","6.418,66","5.798,80","","10,18%"
"01.05.2020","5.793,02","5.691,85","5.906,27","5.556,66","","0,94%"
"01.04.2020","5.738,92","5.425,92","5.785,33","5.310,31","","4,23%"
"01.03.2020","5.505,97","5.875,59","6.003,34","4.655,29","","-4,32%"
"01.02.2020","5.754,59","6.327,06","6.450,48","5.585,00","","-9,58%"
"01.01.2020","6.364,56","5.987,19","6.459,47","5.942,08","","6,27%"
"01.12.2019","5.989,03","5.899,05","6.026,11","5.807,08","","1,56%"
"01.11.2019","5.897,10","5.664,73","5.933,16","5.664,73","","4,14%"
"01.10.2019","5.662,48","5.851,02","5.880,85","5.425,90","","-3,09%"
"01.09.2019","5.842,84","6.077,52","6.138,89","5.821,87","","-3,95%"
