"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","6.267,69","6.180,60","6.334,47","5.891,47","","2,20%"
"01.11.2022","6.132,80","5.975,12","6.297,35","5.747,98","","3,10%"
"01.10.2022","5.948,64","5.361,27","5.964,76","4.881,42","","14,04%"
"01.09.2022","5.216,42","6.246,09","6.732,86","5.021,38","","-16,39%"
"01.08.2022","6.239,07","5.503,21","6.325,26","5.200,27","","13,18%"
"01.07.2022","5.512,70","5.254,70","5.723,79","5.117,76","","3,71%"
"01.06.2022","5.315,26","5.440,73","5.687,94","5.081,67","","-2,97%"
"01.05.2022","5.478,21","5.937,72","6.033,96","5.379,82","","-8,38%"
"01.04.2022","5.979,30","6.730,85","7.644,42","5.185,33","","-9,54%"
"01.03.2022","6.609,82","6.236,04","6.630,40","5.773,50","","3,20%"
"01.02.2022","6.404,97","11.153,93","11.303,78","4.701,99","","-42,02%"
"01.01.2022","11.047,01","12.189,53","12.546,34","9.774,44","","-8,43%"
"01.12.2021","12.064,54","12.894,08","13.220,12","11.184,37","","-6,06%"
"01.11.2021","12.842,58","13.895,25","14.559,12","12.121,89","","-7,57%"
"01.10.2021","13.894,02","13.256,18","14.744,03","13.207,59","","4,18%"
"01.09.2021","13.336,34","13.366,43","13.764,98","12.915,28","","-0,09%"
"01.08.2021","13.348,34","12.546,86","13.913,81","12.497,63","","6,81%"
"01.07.2021","12.497,63","12.621,18","13.060,96","12.142,04","","-0,82%"
"01.06.2021","12.601,14","12.266,62","12.697,51","11.869,42","","3,32%"
"01.05.2021","12.196,09","11.664,18","12.324,12","11.239,87","","5,57%"
"01.04.2021","11.552,27","11.162,02","11.755,39","11.035,06","","4,11%"
"01.03.2021","11.095,87","10.216,93","11.159,76","9.967,27","","9,16%"
"01.02.2021","10.164,83","9.107,59","10.588,99","9.107,59","3,81B","11,87%"
"01.01.2021","9.086,26","8.694,35","9.843,09","8.686,53","","5,51%"
"01.12.2020","8.611,78","8.439,75","8.965,19","8.327,10","","2,39%"
"01.11.2020","8.410,65","7.047,56","8.433,15","6.978,74","","18,10%"
"01.10.2020","7.121,73","7.845,76","7.846,93","7.103,45","","-8,62%"
"01.09.2020","7.793,75","7.624,69","7.897,61","7.261,87","","2,69%"
"01.08.2020","7.589,93","7.594,93","7.926,00","7.510,11","","0,51%"
"01.07.2020","7.551,12","6.543,29","7.563,77","6.533,03","","16,11%"
"01.06.2020","6.503,39","6.300,80","6.620,83","6.205,70","","3,85%"
"01.05.2020","6.262,59","5.986,25","6.325,33","5.866,83","","3,62%"
"01.04.2020","6.044,02","5.336,05","6.121,90","5.280,35","","10,43%"
