"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","5.888,97","5.661,42","5.916,37","5.618,91","","5,20%"
"01.11.2022","5.597,67","5.384,06","5.717,02","5.158,50","","4,44%"
"01.10.2022","5.359,68","4.659,10","5.454,79","4.387,60","","17,82%"
"01.09.2022","4.549,18","6.226,92","6.531,98","4.364,73","","-26,96%"
"01.08.2022","6.228,43","6.012,08","6.239,78","5.446,79","","3,87%"
"01.07.2022","5.996,25","6.467,28","6.558,47","5.514,59","","-7,97%"
"01.06.2022","6.515,87","7.607,19","7.692,75","6.495,23","","-15,11%"
"01.05.2022","7.675,87","8.684,01","8.719,05","7.431,74","","-11,51%"
"01.04.2022","8.674,35","9.155,61","9.373,66","8.166,50","","-4,42%"
"01.03.2022","9.075,34","8.802,86","9.095,57","8.076,52","","2,67%"
"01.02.2022","8.839,12","10.359,74","11.166,04","6.701,23","","-13,83%"
"01.01.2022","10.257,53","11.188,44","11.245,15","9.703,17","","-7,64%"
"01.12.2021","11.106,42","11.149,68","11.181,56","10.128,44","","-0,41%"
"01.11.2021","11.151,97","11.194,08","11.850,31","10.983,14","","-0,41%"
"01.10.2021","11.197,76","10.688,67","11.630,37","10.491,48","","4,40%"
"01.09.2021","10.725,76","11.527,53","11.816,26","10.650,40","","-7,22%"
"01.08.2021","11.560,22","11.742,04","11.856,11","11.149,57","","-1,00%"
"01.07.2021","11.676,42","11.168,74","11.783,74","10.980,60","","3,95%"
"01.06.2021","11.232,77","11.986,31","12.199,38","11.054,22","","-5,80%"
"01.05.2021","11.924,48","11.501,40","12.216,59","11.431,35","","4,83%"
"01.04.2021","11.375,57","10.746,07","12.090,62","10.552,60","","6,30%"
"01.03.2021","10.701,05","10.226,12","10.722,78","10.025,15","","5,44%"
"01.02.2021","10.149,11","10.202,02","10.470,33","10.022,50","15,22B","0,00%"
"01.01.2021","10.148,90","10.468,73","10.995,60","10.118,27","","-1,92%"
"01.12.2020","10.347,08","9.445,64","10.470,72","9.429,44","","10,55%"
"01.11.2020","9.359,99","8.720,28","9.536,17","8.684,01","","6,86%"
