"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","5.658,04","5.719,93","5.795,85","5.439,64","","-0,58%"
"01.11.2022","5.691,30","5.928,30","6.022,11","5.665,88","","-3,21%"
"01.10.2022","5.879,76","5.346,58","5.958,41","4.747,72","","11,92%"
"01.09.2022","5.253,69","6.524,91","6.793,69","4.871,65","","-19,59%"
"01.08.2022","6.533,48","6.129,98","6.623,87","5.682,23","","6,58%"
"01.07.2022","6.129,86","6.264,23","6.422,77","5.586,46","","-1,96%"
"01.06.2022","6.252,22","6.252,99","6.787,98","6.087,38","","-0,79%"
"01.05.2022","6.302,16","6.398,02","6.567,81","5.885,93","","-1,54%"
"01.04.2022","6.400,46","7.196,89","7.426,13","5.709,52","","-10,32%"
"01.03.2022","7.137,15","6.712,31","7.137,15","6.274,00","","10,13%"
"01.02.2022","6.480,57","8.910,57","9.031,56","3.961,88","","-26,99%"
"01.01.2022","8.876,07","9.232,76","9.472,52","7.990,88","","-3,09%"
"01.12.2021","9.159,50","8.833,46","9.187,24","8.424,30","","4,21%"
"01.11.2021","8.789,66","9.462,04","9.650,93","8.690,72","","-7,02%"
"01.10.2021","9.452,83","9.470,64","10.165,75","9.349,36","","-1,10%"
"01.09.2021","9.558,27","8.625,83","9.607,65","8.603,70","","11,09%"
"01.08.2021","8.603,70","8.472,27","8.810,63","8.390,94","","2,18%"
"01.07.2021","8.420,38","8.898,69","9.199,33","8.167,31","","-5,26%"
"01.06.2021","8.887,54","8.255,96","8.911,58","8.255,96","","8,29%"
"01.05.2021","8.207,09","7.870,30","8.251,66","7.870,30","","4,70%"
"01.04.2021","7.838,74","8.398,63","8.454,88","7.811,42","","-6,08%"
"01.03.2021","8.346,53","7.670,60","8.630,79","7.651,16","","9,21%"
"01.02.2021","7.642,66","7.421,21","7.995,46","7.362,04","3,28B","3,08%"
"01.01.2021","7.414,28","7.376,81","8.099,56","7.318,68","","0,95%"
"01.12.2020","7.344,76","7.119,32","7.453,18","7.003,28","","3,75%"
"01.11.2020","7.078,96","5.896,43","7.445,13","5.873,19","","19,05%"
"01.10.2020","5.946,19","6.565,52","6.721,54","5.889,05","","-9,19%"
"01.09.2020","6.548,26","6.910,41","6.989,66","6.457,20","","-4,85%"
"01.08.2020","6.882,25","6.880,58","7.377,29","6.785,21","","0,07%"
"01.07.2020","6.877,75","6.993,25","7.173,39","6.737,49","","-0,65%"
"01.06.2020","6.922,95","7.078,37","7.373,72","6.912,63","","-0,69%"
