"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","763,08","809,35","814,10","750,54","","-4,99%"
"01.11.2022","803,18","814,23","847,87","799,29","","-1,20%"
"01.10.2022","812,93","698,80","820,35","694,08","","18,11%"
"01.09.2022","688,27","862,77","947,44","672,82","","-20,06%"
"01.08.2022","860,96","774,26","865,10","733,67","","11,12%"
"01.07.2022","774,79","803,32","842,45","735,13","","-4,11%"
"01.06.2022","808,00","883,63","897,08","792,16","","-8,75%"
"01.05.2022","885,50","946,07","970,00","862,74","","-4,96%"
"01.04.2022","931,70","976,16","1.043,45","838,44","","-3,64%"
"01.03.2022","966,90","798,38","968,11","737,71","","12,78%"
"01.02.2022","857,30","1.305,64","1.338,42","738,57","","-34,03%"
"01.01.2022","1.299,47","1.397,90","1.441,29","1.195,03","","-6,76%"
"01.12.2021","1.393,72","1.347,66","1.410,36","1.320,09","","4,12%"
"01.11.2021","1.338,52","1.498,77","1.509,67","1.332,47","","-10,73%"
"01.10.2021","1.499,36","1.490,67","1.531,57","1.469,65","","0,76%"
"01.09.2021","1.488,10","1.469,15","1.493,93","1.408,52","","1,20%"
"01.08.2021","1.470,41","1.389,23","1.483,70","1.368,56","","5,70%"
"01.07.2021","1.391,09","1.367,16","1.394,15","1.314,04","","1,95%"
"01.06.2021","1.364,43","1.344,46","1.406,99","1.343,08","","1,81%"
"01.05.2021","1.340,23","1.279,39","1.360,87","1.275,42","","4,97%"
"01.04.2021","1.276,75","1.327,29","1.331,94","1.272,80","","-3,54%"
"01.03.2021","1.323,55","1.341,84","1.363,88","1.298,92","","-0,80%"
"01.02.2021","1.334,23","1.352,26","1.366,09","1.316,36","507,66M","-1,20%"
"01.01.2021","1.350,49","1.319,72","1.400,12","1.319,72","","2,96%"
"01.12.2020","1.311,62","1.320,73","1.371,24","1.261,04","","-0,82%"
"01.11.2020","1.322,52","1.117,51","1.350,19","1.096,64","","18,52%"
"01.10.2020","1.115,88","1.320,69","1.324,41","1.084,80","","-15,22%"
"01.09.2020","1.316,28","1.375,56","1.430,93","1.295,11","","-4,04%"
"01.08.2020","1.371,73","1.401,98","1.457,70","1.354,26","","-1,65%"
"01.07.2020","1.394,80","1.439,49","1.529,86","1.385,61","","-2,74%"
"01.06.2020","1.434,12","1.371,91","1.585,20","1.371,91","","5,93%"
"01.05.2020","1.353,80","1.267,53","1.363,36","1.234,35","","5,28%"
"01.04.2020","1.285,92","1.174,33","1.327,87","1.170,42","","7,63%"
"01.03.2020","1.194,72","1.513,63","1.565,77","946,36","","-18,65%"
"01.02.2020","1.468,54","1.655,42","1.826,31","1.443,21","","-11,67%"
"01.01.2020","1.662,63","1.620,59","1.776,59","1.615,01","","2,62%"
"01.12.2019","1.620,26","1.561,36","1.633,51","1.526,17","","4,03%"
"01.11.2019","1.557,42","1.582,64","1.601,45","1.556,94","","-1,63%"
"01.10.2019","1.583,24","1.540,99","1.596,83","1.481,52","","3,03%"
