"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","130,40","130,61","130,97","129,99","","-0,15%"
"01.11.2022","130,60","130,22","130,77","128,76","","0,29%"
"01.10.2022","130,22","125,76","131,19","125,76","","3,56%"
"01.09.2022","125,74","134,97","136,22","125,50","","-6,83%"
"01.08.2022","134,96","136,20","136,45","134,77","","-0,91%"
"01.07.2022","136,20","134,62","136,22","133,12","","1,17%"
"01.06.2022","134,62","128,97","135,26","129,19","","4,37%"
"01.05.2022","128,98","126,16","129,74","124,73","","2,23%"
"01.04.2022","126,17","117,02","127,08","115,06","","7,87%"
"01.03.2022","116,97","107,97","116,97","98,21","","7,86%"
"01.02.2022","108,45","128,99","129,99","104,30","","-15,92%"
"01.01.2022","128,99","135,78","136,68","127,14","","-4,99%"
"01.12.2021","135,77","135,22","136,10","134,16","","0,36%"
"01.11.2021","135,28","136,77","138,18","133,56","","-1,07%"
"01.10.2021","136,75","142,56","142,70","136,68","","-4,07%"
"01.09.2021","142,55","144,90","144,97","142,54","","-1,62%"
"01.08.2021","144,90","145,77","145,99","144,46","","-0,59%"
"01.07.2021","145,76","144,10","145,81","143,74","","1,17%"
"01.06.2021","144,08","145,21","145,41","143,77","","-0,78%"
"01.05.2021","145,21","145,75","146,31","145,09","","-0,35%"
"01.04.2021","145,72","145,62","146,32","143,82","","0,08%"
"01.03.2021","145,61","147,43","149,05","144,06","","-1,23%"
"01.02.2021","147,42","150,96","151,49","147,42","","-2,34%"
"01.01.2021","150,96","153,15","153,67","150,62","","-1,43%"
"01.12.2020","153,15","154,06","154,29","152,71","","-0,59%"
"01.11.2020","154,06","152,73","154,63","151,77","","0,88%"
"01.10.2020","152,72","152,37","154,15","152,37","","0,24%"
"01.09.2020","152,36","153,79","154,05","151,88","","-0,93%"
"01.08.2020","153,79","154,97","155,50","152,90","","-0,73%"
"01.07.2020","154,92","155,09","156,20","153,91","","-0,10%"
"01.06.2020","155,08","156,89","157,49","155,08","","-1,17%"
"01.05.2020","156,91","152,75","157,56","152,75","","2,75%"
