"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.12.2022","2.154,12","2.189,65","2.210,70","2.070,58","","-0,94%"
"01.11.2022","2.174,53","2.179,15","2.254,94","2.123,32","","0,37%"
"01.10.2022","2.166,61","1.991,88","2.184,38","1.775,04","","10,69%"
"01.09.2022","1.957,31","2.401,98","2.492,15","1.841,42","","-18,45%"
"01.08.2022","2.400,08","2.213,75","2.423,12","2.052,08","","8,41%"
"01.07.2022","2.213,81","2.197,90","2.273,24","2.022,16","","0,41%"
"01.06.2022","2.204,85","2.349,84","2.419,81","2.184,71","","-6,41%"
"01.05.2022","2.355,75","2.444,25","2.490,17","2.229,22","","-3,66%"
"01.04.2022","2.445,17","2.714,62","2.835,46","2.168,18","","-9,56%"
"01.03.2022","2.703,51","2.474,52","2.761,17","2.363,62","","9,43%"
"01.02.2022","2.470,48","3.564,55","3.683,95","1.681,55","","-30,02%"
"01.01.2022","3.530,38","3.825,30","3.892,33","3.158,46","","-6,78%"
"01.12.2021","3.787,26","3.907,17","3.977,16","3.532,29","","-2,66%"
"01.11.2021","3.890,59","4.155,24","4.245,32","3.776,61","","-6,25%"
"01.10.2021","4.150,00","4.078,59","4.292,68","4.065,40","","1,13%"
"01.09.2021","4.103,52","3.924,32","4.112,31","3.918,96","","4,71%"
"01.08.2021","3.918,96","3.791,22","3.949,07","3.771,58","","3,91%"
"01.07.2021","3.771,58","3.843,28","3.915,00","3.679,44","","-1,83%"
"01.06.2021","3.841,85","3.739,57","3.865,20","3.739,57","","3,23%"
"01.05.2021","3.721,63","3.557,62","3.752,80","3.556,08","","5,01%"
"01.04.2021","3.544,00","3.556,28","3.627,91","3.460,39","","0,06%"
"01.03.2021","3.541,72","3.369,68","3.602,18","3.354,09","","5,83%"
"01.02.2021","3.346,64","3.287,96","3.510,77","3.268,52","25,14B","2,12%"
"01.01.2021","3.277,08","3.306,12","3.520,66","3.272,53","","-0,36%"
"01.12.2020","3.289,02","3.113,06","3.318,39","3.113,06","","5,84%"
"01.11.2020","3.107,58","2.681,19","3.150,78","2.658,49","","15,50%"
"01.10.2020","2.690,59","2.911,08","2.919,25","2.664,44","","-7,41%"
"01.09.2020","2.905,81","2.976,07","3.002,25","2.857,78","","-2,04%"
"01.08.2020","2.966,20","2.917,68","3.090,42","2.911,19","","1,88%"
"01.07.2020","2.911,57","2.762,56","2.919,35","2.703,35","","6,14%"
"01.06.2020","2.743,20","2.761,23","2.835,06","2.670,41","","0,31%"
"01.05.2020","2.734,83","2.623,89","2.796,85","2.564,44","","3,18%"
"01.04.2020","2.650,56","2.465,56","2.713,50","2.431,98","","5,65%"
"01.03.2020","2.508,81","2.829,47","2.875,30","2.073,87","","-9,92%"
"01.02.2020","2.785,08","3.062,27","3.145,15","2.744,18","","-9,48%"
"01.01.2020","3.076,65","3.059,20","3.226,89","3.057,36","","1,01%"
"01.12.2019","3.045,87","2.937,69","3.060,20","2.875,50","","3,76%"
"01.11.2019","2.935,37","2.895,47","3.009,11","2.886,59","","1,43%"
"01.10.2019","2.893,98","2.749,83","2.936,26","2.686,15","","5,34%"
"01.09.2019","2.747,18","2.742,30","2.847,01","2.735,11","","0,26%"
"01.08.2019","2.740,04","2.727,68","2.740,04","2.615,20","","0,02%"
